Seconds,CO2_PPM,CH4_PPM,H2_PPM
1,402.98,17.29,0.54
3,402.83,19.89,0.61
5,403.08,23.97,0.69
7,403.35,29.20,0.76
9,403.52,33.98,0.81
11,403.63,38.29,0.86
14,403.69,43.01,0.90
16,403.69,46.13,0.93
18,403.69,50.28,0.95
20,403.69,52.46,0.96
22,403.69,54.25,0.97
24,403.69,56.57,0.97
26,403.69,59.45,0.98
28,403.69,59.94,0.98
31,403.69,61.43,0.98
33,403.75,61.93,0.98
35,403.63,63.47,0.98
37,403.81,62.44,0.98
