Seconds,CO2_PPM,CH4_PPM,H2_PPM
1,402.03,14.63,0.52
3,403.45,24.39,0.60
5,403.45,27.20,0.64
7,403.53,30.75,0.66
9,403.62,33.32,0.69
11,403.62,35.77,0.70
14,403.58,37.20,0.72
16,403.58,38.97,0.73
18,403.49,39.87,0.73
20,403.49,40.49,0.74
22,403.49,41.11,0.74
24,403.40,41.74,0.75
26,403.36,42.06,0.75
28,403.49,42.38,0.75
31,403.36,41.74,0.75
33,403.36,42.06,0.75
35,403.36,42.38,0.75
37,403.36,41.74,0.75
