Seconds,CO2_PPM,CH4_PPM,H2_PPM
255,405.93,16.43,0.54
256,405.93,16.43,0.54
257,406.02,16.58,0.54
258,405.84,16.43,0.54
259,405.75,16.43,0.54
261,405.84,16.58,0.54
262,406.02,16.73,0.54
263,405.84,16.73,0.54
264,405.93,16.73,0.54
265,405.93,16.58,0.54
266,405.84,16.58,0.54
267,405.75,16.58,0.54
268,405.84,16.58,0.54
270,405.93,16.58,0.54
271,405.84,16.88,0.54
272,405.93,16.88,0.54
273,405.84,16.73,0.54
274,405.75,16.73,0.54
275,405.84,16.88,0.54
276,405.84,16.88,0.54
277,405.84,16.73,0.54
279,407.07,19.64,0.54
280,406.77,19.64,0.54
281,406.58,19.46,0.54
282,406.48,19.13,0.54
283,406.58,19.13,0.54
284,406.67,19.13,0.54
285,406.67,19.13,0.54
286,406.48,19.46,0.54
288,406.77,18.79,0.54
289,406.87,18.46,0.54
